ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,MonitoringLocationIdentifier,SampleCollectionMethod/MethodIdentifier,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ProviderName
nwiswi.01.99300144,1992-10-23,10:50:00,CDT,,,,,,,USGS-05428000,USGS,Ammonia and ammonium,Dissolved,0.219,mg/l NH4,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99300144,1992-10-23,10:50:00,CDT,,,,,,,USGS-05428000,USGS,Ammonia and ammonium,Dissolved,0.170,mg/l as N,CL035,USGS,"Ammonia, wf, ASF salicylate",NWIS
nwiswi.01.99300144,1992-10-23,10:50:00,CDT,,,,,,,USGS-05428000,USGS,Inorganic nitrogen (nitrate and nitrite),Dissolved,,,CL045,USGS,"NO2+NO3, wf, Cd reduction ASF",NWIS
nwiswi.01.99300144,1992-10-23,10:50:00,CDT,,,,,,,USGS-05428000,USGS,Nitrite,Dissolved,,,CL040,USGS,"Nitrite, wf, ASF diazotization",NWIS
nwiswi.01.99300144,1992-10-23,10:50:00,CDT,,,,,,,USGS-05428000,USGS,Hydrogen ion,Total,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99300144,1992-10-23,10:50:00,CDT,,,,,,,USGS-05428000,USGS,Nitrate,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99300144,1992-10-23,10:50:00,CDT,,,,,,,USGS-05428000,USGS,Nitrate,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99300144,1992-10-23,10:50:00,CDT,,,,,,,USGS-05428000,USGS,Nitrite,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99300514,1993-01-05,11:30:00,CST,,,,,,,USGS-05428000,USGS,pH,Total,8.3,std units,,,,NWIS
nwiswi.01.99300514,1993-01-05,11:30:00,CST,,,,,,,USGS-05428000,USGS,"Temperature, water",,1.0,deg C,,,,NWIS
nwiswi.01.99300514,1993-01-05,11:30:00,CST,,,,,,,USGS-05428000,USGS,Ammonia and ammonium,Dissolved,0.592,mg/l NH4,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99300514,1993-01-05,11:30:00,CST,,,,,,,USGS-05428000,USGS,Ammonia and ammonium,Dissolved,0.460,mg/l as N,CL035,USGS,"Ammonia, wf, ASF salicylate",NWIS
nwiswi.01.99300514,1993-01-05,11:30:00,CST,,,,,,,USGS-05428000,USGS,Nitrate,Dissolved,0.620,mg/l asNO3,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99300514,1993-01-05,11:30:00,CST,,,,,,,USGS-05428000,USGS,Nitrate,Dissolved,0.140,mg/l as N,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99300514,1993-01-05,11:30:00,CST,,,,,,,USGS-05428000,USGS,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.160,mg/l as N,CL045,USGS,"NO2+NO3, wf, Cd reduction ASF",NWIS
nwiswi.01.99300514,1993-01-05,11:30:00,CST,,,,,,,USGS-05428000,USGS,Nitrite,Dissolved,0.066,mg/l asNO3,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99300514,1993-01-05,11:30:00,CST,,,,,,,USGS-05428000,USGS,Nitrite,Dissolved,0.020,mg/l as N,CL040,USGS,"Nitrite, wf, ASF diazotization",NWIS
nwiswi.01.99300514,1993-01-05,11:30:00,CST,,,,,,,USGS-05428000,USGS,Hydrogen ion,Total,0.00001,mg/l,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99301425,1993-04-19,12:00:00,CDT,,,,,,,USGS-05428000,USGS,pH,Total,8.3,std units,,,,NWIS
nwiswi.01.99301425,1993-04-19,12:00:00,CDT,,,,,,,USGS-05428000,USGS,"Temperature, water",,5.5,deg C,,,,NWIS
nwiswi.01.99301425,1993-04-19,12:00:00,CDT,,,,,,,USGS-05428000,USGS,Ammonia and ammonium,Dissolved,0.489,mg/l NH4,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99301425,1993-04-19,12:00:00,CDT,,,,,,,USGS-05428000,USGS,Ammonia and ammonium,Dissolved,0.380,mg/l as N,CL035,USGS,"Ammonia, wf, ASF salicylate",NWIS
nwiswi.01.99301425,1993-04-19,12:00:00,CDT,,,,,,,USGS-05428000,USGS,Nitrate,Dissolved,1.90,mg/l asNO3,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99301425,1993-04-19,12:00:00,CDT,,,,,,,USGS-05428000,USGS,Nitrate,Dissolved,0.430,mg/l as N,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99301425,1993-04-19,12:00:00,CDT,,,,,,,USGS-05428000,USGS,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.450,mg/l as N,CL045,USGS,"NO2+NO3, wf, Cd reduction ASF",NWIS
nwiswi.01.99301425,1993-04-19,12:00:00,CDT,,,,,,,USGS-05428000,USGS,Nitrite,Dissolved,0.066,mg/l asNO3,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99301425,1993-04-19,12:00:00,CDT,,,,,,,USGS-05428000,USGS,Nitrite,Dissolved,0.020,mg/l as N,CL040,USGS,"Nitrite, wf, ASF diazotization",NWIS
nwiswi.01.99301425,1993-04-19,12:00:00,CDT,,,,,,,USGS-05428000,USGS,Hydrogen ion,Total,0.00001,mg/l,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99303300,1993-07-12,11:30:00,CDT,,,,,,,USGS-05428000,USGS,pH,Total,8.8,std units,,,,NWIS
nwiswi.01.99303300,1993-07-12,11:30:00,CDT,,,,,,,USGS-05428000,USGS,"Temperature, water",,24.0,deg C,,,,NWIS
nwiswi.01.99303300,1993-07-12,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Ammonia and ammonium,Dissolved,0.039,mg/l NH4,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99303300,1993-07-12,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Ammonia and ammonium,Dissolved,0.030,mg/l as N,CL035,USGS,"Ammonia, wf, ASF salicylate",NWIS
nwiswi.01.99303300,1993-07-12,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Nitrate,Dissolved,0.398,mg/l asNO3,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99303300,1993-07-12,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Nitrate,Dissolved,0.090,mg/l as N,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99303300,1993-07-12,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.120,mg/l as N,CL045,USGS,"NO2+NO3, wf, Cd reduction ASF",NWIS
nwiswi.01.99303300,1993-07-12,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Nitrite,Dissolved,0.099,mg/l asNO3,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99303300,1993-07-12,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Nitrite,Dissolved,0.030,mg/l as N,CL040,USGS,"Nitrite, wf, ASF diazotization",NWIS
nwiswi.01.99303300,1993-07-12,11:30:00,CDT,,,,,,,USGS-05428000,USGS,Hydrogen ion,Total,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99306676,1993-09-01,11:45:00,CDT,,,,,,,USGS-05428000,USGS,pH,Total,8.9,std units,,,,NWIS
nwiswi.01.99306676,1993-09-01,11:45:00,CDT,,,,,,,USGS-05428000,USGS,"Temperature, water",,24.0,deg C,,,,NWIS
nwiswi.01.99306676,1993-09-01,11:45:00,CDT,,,,,,,USGS-05428000,USGS,Ammonia and ammonium,Dissolved,0.026,mg/l NH4,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99306676,1993-09-01,11:45:00,CDT,,,,,,,USGS-05428000,USGS,Ammonia and ammonium,Dissolved,0.020,mg/l as N,CL035,USGS,"Ammonia, wf, ASF salicylate",NWIS
nwiswi.01.99306676,1993-09-01,11:45:00,CDT,,,,,,,USGS-05428000,USGS,Inorganic nitrogen (nitrate and nitrite),Dissolved,,,CL045,USGS,"NO2+NO3, wf, Cd reduction ASF",NWIS
nwiswi.01.99306676,1993-09-01,11:45:00,CDT,,,,,,,USGS-05428000,USGS,Nitrite,Dissolved,,,CL040,USGS,"Nitrite, wf, ASF diazotization",NWIS
nwiswi.01.99306676,1993-09-01,11:45:00,CDT,,,,,,,USGS-05428000,USGS,Hydrogen ion,Total,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99306676,1993-09-01,11:45:00,CDT,,,,,,,USGS-05428000,USGS,Nitrate,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99306676,1993-09-01,11:45:00,CDT,,,,,,,USGS-05428000,USGS,Nitrate,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
nwiswi.01.99306676,1993-09-01,11:45:00,CDT,,,,,,,USGS-05428000,USGS,Nitrite,Dissolved,,,ALGOR,USGS,Computation by NWIS algorithm,NWIS
WIDNR_WQX-37108683,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.8,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37108683,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.025,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37108683,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,<0.02,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37108683,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,4.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.07,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37108732,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.1,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37108732,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.12,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37108732,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.50,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37108732,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,12.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.28,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37108781,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,14.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.2,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37108781,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,14.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.17,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37108781,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,14.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.58,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37108781,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,14.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.32,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37108815,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.3,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37108815,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.22,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37108815,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.69,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37108815,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,16.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.28,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37108848,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,18.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.4,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37108848,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,18.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.27,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37108848,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,18.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.86,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37108848,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,18.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.14,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37108882,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.5,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37108882,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.29,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37108882,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,0.97,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
WIDNR_WQX-37108882,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,20.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.03,mg/l,4500-NO3(F),APHA,Nitrate in Water- Automated Cadmium Reduction,STORET
WIDNR_WQX-37108914,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,22.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.7,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-37108914,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,22.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Phosphate-phosphorus,Total,0.34,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-37108914,1988-07-05,00:00:00,,1988-07-05,23:55:00,CDT,22.0,m,,WIDNR_WQX-10001207,GRAB SAMPLE,Ammonia,Dissolved,1.1,mg/l,4500-NH3(G),APHA,Ammonia in Water Using Automated Phenate Method,STORET
